labels,Symptoms
COVID19,"Fatigue, Fever, Congestion, Body aches, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Fever, Bluish skin"
TUBERCULOSIS,"Night sweats, Fatigue, Coughing blood, Chills, Chronic cough, Weight loss, Chest pain"
COVID19,"Fever, Sore throat, Headache, Loss of taste or smell, Chills, Fatigue, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Chills, Weakness, Shortness of breath, Loss of appetite"
TUBERCULOSIS,"Chest pain, Coughing blood, Weakness, Chronic cough, Weight loss, Night sweats, Chills"
COVID19,"Cough, Chills, Headache, Fatigue, Body aches"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Loss of appetite, Fatigue"
TUBERCULOSIS,"Loss of appetite, Shortness of breath, Chills, Chest pain, Weight loss"
COVID19,"Shortness of breath, Loss of taste or smell, Headache, Sore throat, Fever, Nausea, Body aches"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Bluish skin, Chills"
TUBERCULOSIS,"Chronic cough, Weakness, Fever, Coughing blood"
COVID19,"Cough, Sore throat, Congestion, Shortness of breath, Loss of taste or smell"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Weakness, Muscle pain, Fever, Fatigue"
TUBERCULOSIS,"Chills, Chronic cough, Loss of appetite, Weight loss, Coughing blood"
COVID19,"Nausea, Loss of taste or smell, Shortness of breath, Fever, Fatigue"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Bluish skin, Sweating, Chest pain, Cough with phlegm"
TUBERCULOSIS,"Chest pain, Weakness, Loss of appetite, Shortness of breath, Coughing blood, Chronic cough"
COVID19,"Nausea, Congestion, Fatigue, Loss of taste or smell, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Chest pain, Cough with phlegm, Chills, Fever, Fatigue, Loss of appetite"
TUBERCULOSIS,"Loss of appetite, Weakness, Fatigue, Shortness of breath, Coughing blood"
COVID19,"Nausea, Fever, Chills, Congestion, Diarrhea"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Sweating, Shortness of breath, Cough with phlegm"
TUBERCULOSIS,"Shortness of breath, Night sweats, Chronic cough, Fatigue"
COVID19,"Congestion, Nausea, Body aches, Chills, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Cough with phlegm, Sweating, Fever, Chills"
TUBERCULOSIS,"Loss of appetite, Chills, Night sweats"
COVID19,"Body aches, Fever, Chills, Fatigue"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Fever, Weakness"
TUBERCULOSIS,"Chills, Fatigue, Chronic cough, Chest pain, Fever, Weakness"
COVID19,"Fever, Congestion, Headache, Cough"
NORMAL,No symptoms
PNEUMONIA,"Chills, Sweating, Fatigue"
TUBERCULOSIS,"Coughing blood, Night sweats, Weakness, Loss of appetite, Weight loss"
COVID19,"Loss of taste or smell, Congestion, Shortness of breath, Body aches, Fatigue, Chills, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Fatigue, Cough with phlegm, Chills, Loss of appetite, Shortness of breath, Muscle pain"
TUBERCULOSIS,"Shortness of breath, Chest pain, Weight loss, Fatigue, Chronic cough"
COVID19,"Loss of taste or smell, Congestion, Cough, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Weakness, Muscle pain"
TUBERCULOSIS,"Chest pain, Coughing blood, Fatigue, Shortness of breath, Weakness, Chills"
COVID19,"Body aches, Chills, Fever, Congestion, Loss of taste or smell, Fatigue, Diarrhea"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Fatigue, Chest pain, Fever, Cough with phlegm, Bluish skin, Chills"
TUBERCULOSIS,"Loss of appetite, Fatigue, Chest pain"
COVID19,"Diarrhea, Congestion, Body aches, Fatigue, Sore throat, Loss of taste or smell"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Muscle pain, Sweating"
TUBERCULOSIS,"Fatigue, Night sweats, Chills, Loss of appetite, Chest pain, Shortness of breath"
COVID19,"Fever, Sore throat, Chills"
NORMAL,No symptoms
PNEUMONIA,"Fatigue, Shortness of breath, Weakness, Chills"
TUBERCULOSIS,"Fatigue, Weakness, Chills, Night sweats"
COVID19,"Diarrhea, Body aches, Fatigue, Nausea, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Chest pain, Loss of appetite, Fever, Sweating, Chills, Bluish skin"
TUBERCULOSIS,"Night sweats, Shortness of breath, Coughing blood, Weakness, Weight loss, Loss of appetite, Chills"
COVID19,"Loss of taste or smell, Fever, Diarrhea, Cough, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Weakness, Fatigue, Shortness of breath, Fever, Chills"
TUBERCULOSIS,"Shortness of breath, Weakness, Chronic cough, Loss of appetite"
COVID19,"Loss of taste or smell, Nausea, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Cough with phlegm, Bluish skin, Shortness of breath, Fatigue, Loss of appetite, Weakness"
TUBERCULOSIS,"Weakness, Chills, Fever"
COVID19,"Fatigue, Chills, Loss of taste or smell"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Loss of appetite, Cough with phlegm"
TUBERCULOSIS,"Chronic cough, Chest pain, Fatigue, Shortness of breath, Coughing blood, Weakness"
COVID19,"Sore throat, Diarrhea, Headache, Chills, Nausea, Cough"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Loss of appetite, Cough with phlegm, Sweating, Chest pain"
TUBERCULOSIS,"Fever, Night sweats, Weakness, Loss of appetite, Chills, Fatigue, Shortness of breath"
COVID19,"Sore throat, Nausea, Body aches, Fatigue"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Shortness of breath, Cough with phlegm, Fatigue, Loss of appetite"
TUBERCULOSIS,"Loss of appetite, Coughing blood, Weakness, Fever, Chronic cough, Chills, Weight loss"
COVID19,"Shortness of breath, Headache, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Chest pain, Sweating, Muscle pain, Shortness of breath, Fever, Cough with phlegm"
TUBERCULOSIS,"Weight loss, Fever, Loss of appetite, Night sweats, Shortness of breath, Chest pain"
COVID19,"Fatigue, Diarrhea, Chills, Sore throat, Cough, Shortness of breath, Fever"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Chills, Fever, Chest pain, Sweating, Loss of appetite, Muscle pain"
TUBERCULOSIS,"Chills, Fever, Chest pain, Loss of appetite"
COVID19,"Chills, Fatigue, Congestion, Headache, Nausea, Shortness of breath, Loss of taste or smell"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Chills, Bluish skin, Cough with phlegm"
TUBERCULOSIS,"Fever, Weakness, Chronic cough"
COVID19,"Loss of taste or smell, Fatigue, Headache"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Weakness, Bluish skin"
TUBERCULOSIS,"Chest pain, Loss of appetite, Fever"
COVID19,"Congestion, Nausea, Sore throat, Cough"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Chills, Sweating, Bluish skin, Chest pain, Loss of appetite"
TUBERCULOSIS,"Chest pain, Fatigue, Chills, Weakness, Chronic cough, Loss of appetite, Shortness of breath"
COVID19,"Fever, Sore throat, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Shortness of breath, Fever, Loss of appetite, Chills"
TUBERCULOSIS,"Chest pain, Weight loss, Chills, Coughing blood, Shortness of breath, Fatigue"
COVID19,"Headache, Congestion, Fever"
NORMAL,No symptoms
PNEUMONIA,"Fever, Loss of appetite, Fatigue, Weakness"
TUBERCULOSIS,"Fatigue, Chills, Chest pain"
COVID19,"Sore throat, Fever, Chills, Shortness of breath, Fatigue, Body aches, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Chest pain, Bluish skin, Weakness"
TUBERCULOSIS,"Chest pain, Weight loss, Shortness of breath, Coughing blood, Night sweats, Fever"
COVID19,"Cough, Fever, Sore throat, Shortness of breath, Body aches"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Shortness of breath, Fever"
TUBERCULOSIS,"Weight loss, Chronic cough, Fever, Night sweats, Coughing blood"
COVID19,"Fatigue, Loss of taste or smell, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Cough with phlegm, Bluish skin, Weakness, Muscle pain"
TUBERCULOSIS,"Chills, Fever, Weakness"
COVID19,"Chills, Fever, Cough, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Sweating, Fatigue, Fever, Muscle pain, Chills, Loss of appetite"
TUBERCULOSIS,"Coughing blood, Weight loss, Chills, Weakness, Fatigue"
COVID19,"Fever, Headache, Shortness of breath, Chills, Sore throat, Body aches, Fatigue"
NORMAL,No symptoms
PNEUMONIA,"Cough with phlegm, Loss of appetite, Bluish skin"
TUBERCULOSIS,"Chronic cough, Loss of appetite, Night sweats, Fatigue, Weight loss"
COVID19,"Fever, Chills, Fatigue, Diarrhea, Body aches, Shortness of breath, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Shortness of breath, Cough with phlegm, Muscle pain, Sweating"
TUBERCULOSIS,"Shortness of breath, Loss of appetite, Coughing blood, Fever"
COVID19,"Chills, Nausea, Fever"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Weakness, Fever, Sweating, Bluish skin, Shortness of breath, Chills"
TUBERCULOSIS,"Weakness, Fatigue, Night sweats, Loss of appetite"
COVID19,"Chills, Cough, Congestion, Fever, Diarrhea"
NORMAL,No symptoms
PNEUMONIA,"Chest pain, Muscle pain, Loss of appetite, Chills, Cough with phlegm"
TUBERCULOSIS,"Fever, Fatigue, Coughing blood, Chest pain, Loss of appetite, Chills, Chronic cough"
COVID19,"Fever, Nausea, Shortness of breath, Loss of taste or smell, Sore throat, Headache"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Muscle pain, Loss of appetite, Fatigue"
TUBERCULOSIS,"Coughing blood, Chronic cough, Fatigue, Chills, Weight loss, Chest pain, Shortness of breath"
COVID19,"Diarrhea, Chills, Fatigue, Headache"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Cough with phlegm, Loss of appetite, Fever"
TUBERCULOSIS,"Chills, Night sweats, Chronic cough, Fatigue, Shortness of breath, Weakness, Chest pain"
COVID19,"Shortness of breath, Body aches, Fever, Chills, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Fever, Bluish skin"
TUBERCULOSIS,"Night sweats, Chills, Weakness, Chest pain"
COVID19,"Fever, Chills, Shortness of breath, Loss of taste or smell, Body aches"
NORMAL,No symptoms
PNEUMONIA,"Cough with phlegm, Muscle pain, Chest pain, Sweating, Shortness of breath, Bluish skin, Loss of appetite"
TUBERCULOSIS,"Fatigue, Chest pain, Coughing blood, Chills, Night sweats"
COVID19,"Body aches, Fatigue, Cough, Sore throat, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Cough with phlegm, Shortness of breath, Chills"
TUBERCULOSIS,"Night sweats, Weight loss, Weakness, Chronic cough, Fever, Loss of appetite"
COVID19,"Loss of taste or smell, Fever, Fatigue, Sore throat, Chills, Cough, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Chills, Cough with phlegm, Fever"
TUBERCULOSIS,"Coughing blood, Chills, Chronic cough, Fever, Loss of appetite"
COVID19,"Fatigue, Shortness of breath, Sore throat, Loss of taste or smell, Headache, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Cough with phlegm, Shortness of breath, Fatigue, Bluish skin, Loss of appetite"
TUBERCULOSIS,"Loss of appetite, Chest pain, Night sweats, Chills, Fatigue"
COVID19,"Body aches, Shortness of breath, Cough"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Cough with phlegm, Weakness, Chest pain, Chills, Shortness of breath"
TUBERCULOSIS,"Fatigue, Fever, Chronic cough, Weakness, Loss of appetite, Night sweats"
COVID19,"Nausea, Fatigue, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Chills, Cough with phlegm"
TUBERCULOSIS,"Coughing blood, Night sweats, Chronic cough, Weight loss, Loss of appetite"
COVID19,"Headache, Shortness of breath, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Cough with phlegm, Chest pain"
TUBERCULOSIS,"Shortness of breath, Night sweats, Coughing blood, Loss of appetite, Chest pain, Weakness, Fever"
COVID19,"Sore throat, Shortness of breath, Fatigue, Congestion, Fever"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Fatigue, Loss of appetite, Chills, Cough with phlegm, Muscle pain"
TUBERCULOSIS,"Weight loss, Loss of appetite, Chest pain, Coughing blood, Fever, Chills, Fatigue"
COVID19,"Shortness of breath, Diarrhea, Fatigue, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Fever, Sweating"
TUBERCULOSIS,"Chronic cough, Night sweats, Loss of appetite, Shortness of breath, Fever, Chills, Weight loss"
COVID19,"Diarrhea, Chills, Body aches, Loss of taste or smell, Cough"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Loss of appetite, Cough with phlegm, Sweating, Fatigue"
TUBERCULOSIS,"Chills, Fever, Weakness, Chronic cough, Weight loss, Night sweats"
COVID19,"Sore throat, Loss of taste or smell, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Sweating, Fever, Muscle pain"
TUBERCULOSIS,"Weight loss, Night sweats, Fatigue, Coughing blood"
COVID19,"Diarrhea, Shortness of breath, Headache, Body aches, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Muscle pain, Loss of appetite, Cough with phlegm, Chills, Chest pain"
TUBERCULOSIS,"Fever, Weight loss, Chest pain"
COVID19,"Body aches, Sore throat, Chills"
NORMAL,No symptoms
PNEUMONIA,"Weakness, Shortness of breath, Muscle pain, Loss of appetite, Sweating"
TUBERCULOSIS,"Night sweats, Loss of appetite, Shortness of breath, Chills, Chronic cough, Fever, Weight loss"
COVID19,"Body aches, Sore throat, Nausea, Fatigue, Loss of taste or smell, Headache"
NORMAL,No symptoms
PNEUMONIA,"Fatigue, Cough with phlegm, Bluish skin, Fever"
TUBERCULOSIS,"Weight loss, Chronic cough, Fatigue"
COVID19,"Fever, Body aches, Cough, Sore throat"
NORMAL,No symptoms
PNEUMONIA,"Bluish skin, Fever, Chest pain"
TUBERCULOSIS,"Fever, Chest pain, Chronic cough, Coughing blood"
COVID19,"Diarrhea, Fatigue, Sore throat, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Loss of appetite, Cough with phlegm, Fatigue, Muscle pain"
TUBERCULOSIS,"Fever, Chronic cough, Chills, Coughing blood, Night sweats, Chest pain"
COVID19,"Body aches, Chills, Sore throat, Nausea, Loss of taste or smell, Cough, Headache"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Chills, Loss of appetite, Weakness, Fever, Chest pain"
TUBERCULOSIS,"Coughing blood, Fever, Chronic cough, Weakness, Loss of appetite, Weight loss, Shortness of breath"
COVID19,"Fatigue, Loss of taste or smell, Diarrhea, Nausea, Shortness of breath, Cough, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Muscle pain, Chills, Loss of appetite, Fever"
TUBERCULOSIS,"Loss of appetite, Weight loss, Fatigue"
COVID19,"Headache, Sore throat, Loss of taste or smell, Nausea, Diarrhea, Congestion"
NORMAL,No symptoms
PNEUMONIA,"Sweating, Fever, Loss of appetite, Muscle pain, Chills, Cough with phlegm"
TUBERCULOSIS,"Loss of appetite, Chills, Night sweats, Coughing blood, Chest pain, Fatigue"
COVID19,"Chills, Loss of taste or smell, Cough, Sore throat, Fever, Nausea"
NORMAL,No symptoms
PNEUMONIA,"Cough with phlegm, Loss of appetite, Shortness of breath, Fatigue, Muscle pain, Chest pain, Fever"
TUBERCULOSIS,"Weakness, Fever, Shortness of breath, Night sweats, Chronic cough, Chest pain"
COVID19,"Loss of taste or smell, Diarrhea, Cough, Fever, Shortness of breath"
NORMAL,No symptoms
PNEUMONIA,"Fever, Sweating, Chest pain"
TUBERCULOSIS,"Weakness, Coughing blood, Chills, Night sweats"
COVID19,"Congestion, Fatigue, Chills, Fever"
NORMAL,No symptoms
PNEUMONIA,"Shortness of breath, Muscle pain, Chills, Weakness, Loss of appetite"
TUBERCULOSIS,"Loss of appetite, Chronic cough, Fever, Chest pain, Coughing blood, Weakness, Chills"
